Date,Description,Category,Amount,Account,Account #,Institution
2/14/2018,Methow Conservancy,Charity,($250.00),Family Checking,xxxx3244,Chase - Checking
2/14/2018,"Zeitgeist Coffee, Seattle, WA",Coffee,($10.10),Alaska Airlines Visa,xxxx1561,Bank of America - Credit Card
2/13/2018,"Shell Oil, Auto Fuel Dispenser",Auto and Gas,($38.69),American Express,xxxx1005,American Express Cards
2/12/2018,"Winthrop Mountain Sports Winthrop, WA",Gear and Clothing,($39.32),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
2/11/2018,"Toyota of Seattle, Seattle, WA",Auto and Gas,($251.38),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
2/10/2018,Amazon.com,Gear and Clothing,($25.81),Visa Rewards,xxxx3827,Chase - Credit Card
2/9/2018,Chase Bank Mortgage,Mortgage,"($1,903.00)",Family Checking,xxxx3244,Chase - Checking
2/9/2018,Paycheck,Paycheck,"$5,544.00 ",Family Checking,xxxx3244,Chase - Checking
2/9/2018,Audible,Subscriptions,($9.12),Visa Rewards,xxxx3827,Chase - Credit Card
2/8/2018,"Storyville Coffee, Seattle, WA",Eating Out,($8.93),Alaska Airlines Visa,xxxx2387,Bank of America - Credit Card
2/8/2018,Hank's Harvest Foodstwisp WA,Groceries,($46.46),American Express,xxxx1005,American Express Cards
2/7/2018,"Ikea Seattle, Renton, WA",Home Improvements,($246.54),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
2/6/2018,Itunes.com,Subscriptions,($1.59),Visa Rewards,xxxx5345,Chase - Credit Card
2/5/2018,"Mazama Store, Mazama",Eating Out,($15.53),American Express,xxxx1005,American Express Cards
2/5/2018,New York Times Digital,Subscriptions,($18.08),Visa Rewards,xxxx5345,Chase - Credit Card
2/4/2018,Roadpost Usa,Subscriptions,($35.85),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
2/3/2018,Chevron Service Stn,Auto and Gas,($27.69),American Express,xxxx1005,American Express Cards
2/2/2018,Texaco Service Stn,Auto and Gas,($25.28),American Express,xxxx1005,American Express Cards
2/1/2018,"Costco Gas, Burlington",Auto and Gas,($19.16),American Express,xxxx1005,American Express Cards
2/1/2018,Dropbox,Subscriptions,($6.19),Alaska Airlines Visa,xxxx2387,Bank of America - Credit Card
1/31/2018,"Zoka Coffee Roa, Seattle, WA",Eating Out,($2.10),Alaska Airlines Visa,xxxx1561,Bank of America - Credit Card
1/31/2018,"Okanogan County Energy, Winthrop, WA",Utilities,($164.35),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
1/30/2018,Alaska Air,Travel,($156.10),Alaska Airlines Visa,xxxx1561,Bank of America - Credit Card
1/29/2018,Seattle YMCA,Charity,($400.00),Visa Rewards,xxxx5345,Chase - Credit Card
1/28/2018,"Trader Joe's #130, Seattle",Groceries,($69.10),American Express,xxxx1005,American Express Cards
1/27/2018,Roadpost Usa,Subscriptions,($56.98),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
1/26/2018,Chevron Service Stn,Auto and Gas,($37.62),American Express,xxxx1005,American Express Cards
1/26/2018,Tiller (tillerhq.com),Subscriptions,($10.00),Alaska Airlines Visa,xxxx2387,Bank of America - Credit Card
1/25/2018,"Shell Oil, Auto Fuel Dispenser",Auto and Gas,($47.83),American Express,xxxx1005,American Express Cards
1/24/2018,"Winthrop Mountain Sports Winthrop, WA",Stuff,($55.82),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
1/23/2018,Alaska Wilderness League,Charity,($400.00),Family Checking,xxxx3244,Chase - Checking
1/22/2018,Big Star Montessori,Classes,($740.00),Family Checking,xxxx3244,Chase - Checking
1/22/2018,Itunes.com,Subscriptions,($2.99),Visa Rewards,xxxx5345,Chase - Credit Card
1/21/2018,"Mazama Store, Mazama",Eating Out,($18.18),American Express,xxxx1005,American Express Cards
1/19/2018,"Toyota of Seattle, Seattle, WA",Auto and Gas,($435.11),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
1/18/2018,Amazon.com,Gear and Clothing,($30.00),Visa Rewards,xxxx3827,Chase - Credit Card
1/16/2018,PCC Natural Market - Issaquah WA,Groceries,($23.00),American Express,xxxx1005,American Express Cards
1/15/2018,Etsy,Freelance,$923.00 ,Family Checking,xxxx3244,Chase - Checking
1/14/2018,"Espresso Vivace Seattle, Seattle, WA",Eating Out,($7.25),Alaska Airlines Visa,xxxx2387,Bank of America - Credit Card
1/14/2018,"The Essential Baking Co, Seattle, WA",Eating Out,($16.35),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
1/13/2018,AT&T,Phone,($125.43),Visa Rewards,xxxx5345,Chase - Credit Card
1/12/2018,"Zeitgeist Coffee, Seattle, WA",Eating Out,($12.51),Alaska Airlines Visa,xxxx1561,Bank of America - Credit Card
1/11/2018,Centurylink,Phone,($43.73),Visa Rewards,xxxx5345,Chase - Credit Card
1/10/2018,"Portage Bay Cafe and Cate, Seattle, WA",Eating Out,($72.28),Alaska Airlines Visa,xxxx2387,Bank of America - Credit Card
1/10/2018,Whole Foods - Seattle WA,Groceries,($108.91),American Express,xxxx1005,American Express Cards
1/10/2018,Chase Bank Mortgage,Mortgage,"($1,903.00)",Family Checking,xxxx3244,Chase - Checking
1/10/2018,Paycheck,Paycheck,"$5,544.00 ",Family Checking,xxxx3244,Chase - Checking
1/10/2018,Audible,Subscriptions,($16.18),Visa Rewards,xxxx3827,Chase - Credit Card
1/9/2018,"REI, Store 11, Seattle",Gear and Clothing,($513.97),Visa Rewards,xxxx5345,Chase - Credit Card
1/9/2018,Union Garage,Parking,($50.00),Visa Rewards,xxxx5345,Chase - Credit Card
1/8/2018,Evergreen Iga Market,Groceries,($36.76),American Express,xxxx1005,American Express Cards
1/7/2018,Glover Street Market,Eating Out,($35.34),Visa Rewards,xxxx5345,Chase - Credit Card
1/6/2018,"Costco Gas, Burlington",Auto and Gas,($19.67),American Express,xxxx1005,American Express Cards
1/6/2018,Texaco Service Stn,Auto and Gas,($48.74),American Express,xxxx1005,American Express Cards
1/6/2018,New York Times Digital,Subscriptions,($20.00),Visa Rewards,xxxx5345,Chase - Credit Card
1/5/2018,Dropbox,Subscriptions,($10.81),Alaska Airlines Visa,xxxx2387,Bank of America - Credit Card
1/4/2018,Hank's Harvest Foodstwisp WA,Groceries,($52.69),American Express,xxxx1005,American Express Cards
1/3/2018,"Storyville Coffee, Seattle, WA",Eating Out,($12.91),Alaska Airlines Visa,xxxx2387,Bank of America - Credit Card
1/2/2018,Home Depot,Home Improvements,($251.33),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
1/1/2018,"Zoka Coffee Roa, Seattle, WA",Eating Out,($3.56),Alaska Airlines Visa,xxxx1561,Bank of America - Credit Card
1/1/2018,"Okanogan County Energy, Winthrop, WA",Utilities,($322.84),Alaska Airlines Visa,xxxx3499,Bank of America - Credit Card
12/31/2017,Alaska Air,Travel,($115.75),Alaska Airlines Visa,xxxx1561,Bank of America - Credit Card
12/30/2017,Evergreen Iga Market,Groceries,($28.60),American Express,xxxx1005,American Express Cards
12/29/2017,Glover Street Market,Eating Out,($27.97),Visa Rewards,xxxx5345,Chase - Credit Card
